player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Stefon Diggs,9579,WR,BUF,9,11.3,14,73.7,50.0,8,16,0,2.8,2,41,4,1,87.6,81.4,85.2,,85.5,0.0,0,2,55,0.0,0,362,3,70,93.9,340,37.6,136,115.9,95,7,60.8,220,834,245,3.5,11.9,2.45
Tyreek Hill,10799,WR,MIA,9,11.4,15,73.4,45.5,5,11,0,8.0,6,50,17,1,63.7,49.1,93.0,,93.1,1.4,4,2,69,0.0,0,284,2,69,95.8,272,37.7,107,130.4,94,8,60.2,171,1075,409,5.9,15.6,3.95
Puka Nacua,100632,WR,LA,9,9.1,6,70.3,37.5,6,16,0,8.6,6,41,26,1,61.8,47.4,82.6,62.5,81.8,0.0,0,1,37,0.8,3,353,2,64,92.9,328,34.0,120,101.3,91,2,66.0,233,827,312,4.9,12.9,2.52
Ja'Marr Chase,84270,WR,CIN,8,8.6,13,71.1,27.3,3,11,0,4.5,3,42,7,1,78.3,46.6,85.2,,85.2,0.0,0,1,63,0.0,0,344,0,64,95.9,330,26.5,91,103.8,90,4,73.0,251,697,345,5.4,10.9,2.11
A.J. Brown,48327,WR,PHI,9,13.3,13,75.3,55.0,11,20,0,1.5,1,46,24,0,90.3,81.3,91.8,62.3,91.9,0.3,1,2,59,0.3,1,349,1,67,94.8,331,21.8,76,125.0,89,6,77.9,272,1005,322,4.8,15.0,3.04
Adam Thielen,8288,WR,CAR,9,7.1,3,80.0,33.3,2,6,0,1.4,1,38,5,0,90.3,81.2,79.6,43.8,81.6,0.0,0,0,31,0.7,3,406,2,68,92.6,376,70.7,287,114.3,85,4,28.1,114,652,248,3.6,9.6,1.73
Davante Adams,8688,WR,LV,9,11.1,4,60.7,23.5,4,17,0,5.6,3,34,23,0,79.6,79.5,78.3,,78.8,0.0,0,4,32,0.0,0,311,0,51,94.2,293,16.7,52,73.2,84,3,83.0,258,573,162,3.2,11.2,1.96
Chris Olave,84355,WR,NO,9,13.6,0,59.5,30.8,4,13,0,3.8,2,30,20,0,78.7,79.2,74.0,,74.4,0.0,0,2,45,0.0,0,347,1,50,96.0,333,40.6,141,77.6,84,2,58.2,202,563,196,3.9,11.3,1.69
Michael Pittman Jr.,29049,WR,IND,9,8.1,3,71.6,53.3,8,15,0,3.3,2,24,14,1,89.9,42.9,69.4,70.4,71.3,2.4,9,5,75,0.5,2,371,5,58,93.0,345,27.0,100,78.9,81,3,70.6,262,593,291,5.0,10.2,1.72
Keenan Allen,7857,WR,LAC,8,10.0,4,77.5,40.0,4,10,0,1.6,1,32,27,1,90.1,44.8,83.2,77.5,84.6,0.0,0,1,42,0.9,3,342,1,62,91.5,313,62.0,212,115.6,80,4,37.4,128,720,239,3.9,11.6,2.3
T.J. Hockenson,40912,TE,MIN,9,6.6,6,76.9,31.3,5,16,0,7.7,5,31,18,1,64.7,43.4,73.0,70.7,74.2,52.0,185,1,29,5.6,20,356,1,60,89.3,318,36.2,129,102.9,78,3,11.8,42,548,229,3.8,9.1,1.72
Garrett Wilson,97405,WR,NYJ,8,11.6,6,59.7,31.6,6,19,0,4.2,2,22,22,1,69.8,34.7,78.0,,77.7,0.0,0,3,68,0.0,0,324,1,46,95.1,308,28.7,93,74.0,77,2,71.3,231,549,158,3.4,11.9,1.78
